상품 ID	상품명 	상품 가격 	모바일 상품 가격 	정가 	상품 URL 	상품 모바일 URL	이미지 URL 	추가 이미지 URL	제휴사 카테고리명(대분류)	제휴사 카테고리명(중분류)	제휴사 카테고리명(소분류)	제휴사 카테고리명(세분류)	네이버 카테고리	가격비교 페이지 ID	상품상태	해외구매대행 여부	병행수입 여부	주문제작상품 여부	판매방식 구분	미성년자 구매불가 상품 여부	상품 구분	바코드	제품코드	모델명	브랜드	제조사	원산지	카드명/카드할인가격	이벤트	일반/제휴쿠폰	쿠폰다운로드필요 여부	카드 무이자 할부 정보	포인트	별도 설치비 유무	사전매칭코드	검색태그	Group ID	제휴사 상품 ID	코디상품ID	최소구매수량	상품평(리뷰,구매평) 개수	배송료	차등배송비 여부	차등배송비 내용	상품속성	구매옵션	셀러 ID (오픈마켓에 한함)	주 이용 고객층	성별	배송부가정보	
G1809111851_1434	뜨레뷰 투명(3weeks/6+4ea) 1+1=2P 실리콘 하이드로겔 재질	38000	38000	38000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809111851_1434	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809111851_1434	/image/image-view?type=GOODSDTL&id1=20180911_ac6b593c5a8d54c5febff97929eec45c2fc8f886ba4c59dc9c77b1cba498e687_110x110x01	/image/image-view?type=GOODSDTL&id1=20180911_ac6b593c5a8d54c5febff97929eec45c2fc8f886ba4c59dc9c77b1cba498e687_735x645x02	콘택트렌즈	브랜드별	TREVUES				신상품	N	N	N		N					TREVUES									N							0						1				
G1809111903_1439	아이럽 다솜2 블랙B(1month/2ea) 1+1=2P 1tone color lens	10000	10000	10000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809111903_1439	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809111903_1439	/image/image-view?type=GOODSDTL&id1=20180911_0339f43e13be4f71842cbc484f60606536dd2a5caa119b4668e8c02c50089886_110x110x01	/image/image-view?type=GOODSDTL&id1=20180911_0339f43e13be4f71842cbc484f60606536dd2a5caa119b4668e8c02c50089886_735x645x02	콘택트렌즈	그래픽 직경	13.5~13.8mm				신상품	N	N	N		N					TREVUES				브랜드 세일~!!~!~!					N							0						1				
G1809111828_1429	뜨레뷰 올리비아03M 그레이(1month/3ea)2가지 컬러조합! 1+1=2P	25000	25000	25000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809111828_1429	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809111828_1429	/image/image-view?type=GOODSDTL&id1=20180911_f732bb665dc8ead6c3313aea7d9d9d9ed07e037a5654550b5e4029ffd6179719_110x110x01	/image/image-view?type=GOODSDTL&id1=20180911_f732bb665dc8ead6c3313aea7d9d9d9ed07e037a5654550b5e4029ffd6179719_735x645x02	콘택트렌즈	브랜드별	TREVUES				신상품	N	N	N		N					TREVUES									N							0						1				
G1809111906_1440	아이럽 다솜1 초코B(1month/2ea) 1+1=2P 1tone color lens	10000	10000	20000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809111906_1440	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809111906_1440	/image/image-view?type=GOODSDTL&id1=20180911_b2d2ccc7cb39d1d33646674ba83656bc2f559d66a90e166abb91b7906eaed949_110x110x01	/image/image-view?type=GOODSDTL&id1=20180911_b2d2ccc7cb39d1d33646674ba83656bc2f559d66a90e166abb91b7906eaed949_735x645x02	콘택트렌즈	그래픽 직경	13.5~13.8mm				신상품	N	N	N		N					EYE LUV				브랜드 세일~!!~!~!					N							0						1				
G1809131147_1458	112121212	10000	10000	1000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809131147_1458	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809131147_1458	/image/image-view?type=GOODSDTL&id1=20180913_b498f3f5ca64bd3a3c183e0f87e806d60b8f52780c5498486d6c761e2f1dfe37_110x110x01	/image/image-view?type=GOODSDTL&id1=20180913_b498f3f5ca64bd3a3c183e0f87e806d60b8f52780c5498486d6c761e2f1dfe37_735x645x02	아이웨어	선글라스	재질별	TR			신상품	N	N	N		N						nature&amp;#39;s way								N							0						16				
G1809141129_1483	111	10000	10000	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809141129_1483	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809141129_1483			아이웨어	안경테	브랜드	DAON			신상품	N	N	N		N														N							0						6				
G1809181055_1526	시트램 트윙클 후라이팬 24cm 	28800	28800	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809181055_1526	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809181055_1526	/image/image-view?type=GOODSDTL&id1=20180918_9df2d5e79431652b6acfff81b392e12edc7e2ec3026c42431d81b177dc387dc8_110x110x01	/image/image-view?type=GOODSDTL&id1=20180918_9df2d5e79431652b6acfff81b392e12edc7e2ec3026c42431d81b177dc387dc8_735x645x02	리빙	주방/식기	후라이팬	후라이팬 단품			신상품	N	N	N		N						삼광글라스	대한민국							N		후라이팬|주방용품|프라이팬|팬|조리도구					0						26				
G1809181428_1532	시트램 트윙클 후라이팬 26cm	30800	30800	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809181428_1532	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809181428_1532	/image/image-view?type=GOODSDTL&id1=20180918_fce373ec8011e9704bc3f00d24f576a3b4b35e80caf6f818d703732712c37c91_110x110x01	/image/image-view?type=GOODSDTL&id1=20180918_fce373ec8011e9704bc3f00d24f576a3b4b35e80caf6f818d703732712c37c91_735x645x02	리빙	주방/식기	후라이팬	후라이팬 단품			신상품	N	N	N		N						삼광글라스	대한민국							N		조리도구|후라이팬|프라이팬|주방용품|삼광글라스					0						26				
G1809181454_1537	시트램 트윙클 후라이팬 28cm 	31800	31800	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809181454_1537	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809181454_1537	/image/image-view?type=GOODSDTL&id1=20180918_22431130037aecfa195535deb2c2170292f72f603a0bbf3b23966e7364ca2ade_110x110x01	/image/image-view?type=GOODSDTL&id1=20180918_22431130037aecfa195535deb2c2170292f72f603a0bbf3b23966e7364ca2ade_735x645x02	리빙	주방/식기	후라이팬	후라이팬 단품			신상품	N	N	N		N						삼광글라스	대한민국							N		후라이팬|프라이팬|조리도구|주방용품|삼광글라스					0						26				
G1809181557_1554	시트램 바이킹 웍팬 24cm	44900	44900	0	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809181557_1554	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809181557_1554	/image/image-view?type=GOODSDTL&id1=20180918_3a5d6f3cabe713ba78884800d2da4e5477d3b357f8f1b110010aef753439c068_110x110x01	/image/image-view?type=GOODSDTL&id1=20180918_3a5d6f3cabe713ba78884800d2da4e5477d3b357f8f1b110010aef753439c068_735x645x02	리빙	주방/식기	후라이팬	후라이팬 단품			신상품	N	N	N		N						삼광글라스 	대한민국							N		후라이팬|프라이팬|튀김팬|궁중팬|화강암 코팅|주방용품|조리도구					0						26				
G1809181548_1551	베베톡스 앰플리필	119000	119000	119000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809181548_1551	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809181548_1551	/image/image-view?type=GOODSDTL&id1=20180918_3c83d0febbdb0dace8d429e74f069cdf9c4d9f990d284ce4fe789a26e3a26fa5_110x110x01	/image/image-view?type=GOODSDTL&id1=20180918_3c83d0febbdb0dace8d429e74f069cdf9c4d9f990d284ce4fe789a26e3a26fa5_735x645x02	뷰티	스킨케어					신상품	N	N	N		N						한솔생명과학(주)	한국							N		닥터유앤미|앰플|베베톡스				1	0						25				
G1809171702_1512	테스트 ㅁㄴㅇㄻㄴㅇㄻ	10000	10000	10000	http://www.davichmarket.com/front/goods/goods-detail?goodsNo=G1809171702_1512	http://www.davichmarket.com/m/front/goods/goods-detail?goodsNo=G1809171702_1512	/image/image-view?type=GOODSDTL&id1=20180917_c80971f75b7a0468202b3c9cd4f59556c8e96d4c92dec4b73c173e234e422f15_110x110x01	/image/image-view?type=GOODSDTL&id1=20180917_c80971f75b7a0468202b3c9cd4f59556c8e96d4c92dec4b73c173e234e422f15_735x645x02	건강식품	건강음료					신상품	N	N	N		N						종근당	한국							N							0						19				
